summit1,summit2,distance_km
EA7/GR-068,ZL1/WK-217,20015.0
EA5/MU-009,ZL1/BP-039,20014.95
EA5/MU-011,ZL1/GI-084,20014.87
EA7/JA-090,ZL1/BP-141,20014.83
CT/TM-004,ZL3/WC-454,20014.83
EA1/LU-019,ZL3/CB-406,20014.7
EA1/OU-006,ZL3/CB-101,20014.64
CT/TM-038,ZL3/TM-181,20014.6
EA7/JA-051,ZL1/BP-185,20014.59
EA1/CR-031,ZL3/CB-159,20014.55
EA4/BA-015,ZL1/MW-152,20014.5
EA1/LU-013,ZL3/CB-634,20014.47
EA7/CA-010,ZL1/NL-031,20014.44
EA1/CR-026,ZL3/WC-119,20014.44
EA7/JA-121,ZL1/BP-092,20014.42
EA1/OU-031,ZL3/WC-619,20014.42
EA7/GR-074,ZL1/BP-264,20014.4
EA5/AB-034,ZL1/GI-175,20014.4
CT/TM-016,ZL3/WC-447,20014.4
EA4/CR-060,ZL1/MW-011,20014.39
EA1/CR-019,ZL3/WC-109,20014.39
EA4/CR-066,ZL1/MW-002,20014.38
EA5/AB-034,ZL1/GI-042,20014.34
EA1/LE-115,ZL3/CB-848,20014.31
CT/TM-056,ZL3/TM-225,20014.29
EA7/JA-097,ZL1/GI-057,20014.26
CT/TM-013,ZL3/TM-230,20014.25
CT/MN-002,ZL3/WC-620,20014.25
EA1/LU-023,ZL3/WC-349,20014.24
CT/TM-049,ZL3/TM-231,20014.24
EA5/AB-089,ZL1/GI-147,20014.23
EA7/JA-046,ZL1/BP-211,20014.21
EA1/OU-006,ZL3/TM-011,20014.21
EA1/OU-015,ZL3/TM-022,20014.2
EA5/AB-019,ZL1/BP-119,20014.2
EA1/PO-035,ZL3/WC-715,20014.15
EA7/JA-122,ZL1/BP-134,20014.15
EA5/AB-017,ZL1/BP-147,20014.14
EA7/JA-058,ZL1/BP-094,20014.11
EA7/JA-139,ZL1/WK-111,20014.11
CT/MN-024,ZL3/WC-718,20014.09
EA5/AB-030,ZL1/GI-055,20014.09
EA7/GR-033,ZL1/WK-083,20014.09
EA5/MU-103,ZL1/GI-033,20014.07
EA7/JA-065,ZL1/BP-084,20014.07
EA4/CC-092,ZL1/TN-021,20014.06
CT/TM-051,ZL3/WC-727,20014.06
EA7/AL-034,ZL1/BP-114,20014.06
EA5/MU-075,ZL1/GI-017,20014.04
EA5/AB-017,ZL1/BP-258,20014.03
EA1/OU-038,ZL3/WC-332,20014.03
EA5/MU-089,ZL1/GI-132,20014.02
EA1/OU-001,ZL3/MB-161,20014.02
EA5/AB-016,ZL1/BP-124,20014.01
EA7/AL-059,ZL1/BP-076,20013.99
JA6/KG-167,PY3/PA-055,20013.99
EA7/MA-067,ZL1/WK-048,20013.98
CT/TM-054,ZL3/TM-240,20013.97
EA7/JA-121,ZL1/BP-099,20013.96
EA5/AB-075,ZL1/GI-089,20013.96
EA7/MA-073,ZL1/WK-140,20013.96
EA7/GR-130,ZL1/WK-207,20013.95
EA1/ZA-003,ZL3/MB-085,20013.94
EA1/OU-020,ZL3/WC-671,20013.91
CT/TM-009,ZL3/TM-228,20013.91
EA5/AB-061,ZL1/GI-129,20013.9
EA1/OU-035,ZL3/WC-636,20013.89
EA7/JA-050,ZL1/BP-155,20013.89
EA1/LE-267,ZL3/CB-293,20013.87
EA5/MU-090,ZL1/GI-082,20013.86
EA7/JA-051,ZL1/BP-198,20013.86
CT/MN-012,ZL3/WC-573,20013.84
EA1/OU-023,ZL3/TM-185,20013.84
EA5/MU-042,ZL1/GI-007,20013.83
EA1/PO-035,ZL3/WC-732,20013.82
CT/TM-017,ZL3/WC-514,20013.82
EA7/JA-083,ZL1/BP-046,20013.81
EA7/JA-107,ZL1/GI-046,20013.79
EA1/OU-028,ZL3/TM-030,20013.78
EA5/AB-027,ZL1/GI-103,20013.78
EA1/SG-012,ZL1/WL-097,20013.78
CT/BA-005,ZL3/TM-283,20013.77
EA5/AB-037,ZL1/GI-151,20013.76
EA1/PO-030,ZL3/WC-651,20013.73
EA7/JA-061,ZL1/BP-084,20013.72
EA1/LE-153,ZL3/CB-506,20013.72
EA1/OU-032,ZL3/MB-087,20013.7
EA1/LU-023,ZL3/WC-218,20013.69
EA4/MD-052,ZL1/MW-167,20013.69
EA7/CO-007,ZL1/WK-122,20013.69
EA7/GR-082,ZL1/BP-047,20013.68
EA4/CR-058,ZL1/MW-027,20013.67
EA5/AB-017,ZL1/BP-121,20013.67
EA1/CR-020,ZL3/CB-522,20013.67
EA1/OU-017,ZL3/MB-025,20013.67
EA7/JA-124,ZL1/GI-057,20013.67
EA5/MU-069,ZL1/GI-110,20013.66
EA7/JA-097,ZL1/GI-036,20013.66
CT/TM-020,ZL3/MB-049,20013.65
EA4/CR-010,ZL1/WK-028,20013.64
EA1/OU-014,ZL3/WC-227,20013.63
CT/TM-031,ZL3/TM-142,20013.63
EA7/CO-012,ZL1/WK-169,20013.63
EA7/JA-068,ZL1/BP-185,20013.63
EA1/LE-214,ZL3/CB-762,20013.62
EA5/AB-021,ZL1/GI-074,20013.62
EA1/LE-251,ZL3/CB-473,20013.62
EA4/CR-112,ZL1/MW-141,20013.61
EA4/CR-051,ZL1/BP-006,20013.61
EA7/MA-032,ZL1/WK-075,20013.61
EA5/AB-004,ZL1/GI-021,20013.6
EA4/CR-056,ZL1/WK-001,20013.6
CT/TM-008,ZL3/WC-581,20013.59
EA1/AV-033,ZL1/MW-035,20013.59
CT/TM-034,ZL3/TM-081,20013.59
EA7/GR-071,ZL1/BP-173,20013.59
EA4/CR-058,ZL1/MW-028,20013.58
EA7/JA-061,ZL1/BP-082,20013.58
EA1/CR-007,ZL3/WC-645,20013.57
EA1/ZA-016,ZL3/MB-129,20013.56
EA1/LE-277,ZL3/CB-799,20013.56
EA7/JA-097,ZL1/GI-024,20013.56
EA1/CR-046,ZL3/WC-070,20013.54
EA5/AB-042,ZL1/GI-015,20013.54
EA1/LE-213,ZL3/CB-836,20013.53
EA5/AB-005,ZL1/GI-180,20013.53
EA5/AB-016,ZL1/BP-123,20013.53
EA1/CR-012,ZL3/CB-343,20013.52
EA7/JA-056,ZL1/GI-059,20013.52
EA7/AL-059,ZL1/BP-067,20013.52
CT/TM-015,ZL3/TM-226,20013.52
EA5/MU-009,ZL1/BP-242,20013.52
EA5/AB-035,ZL1/GI-184,20013.52
CT/TM-024,ZL3/MB-078,20013.51
CT/TM-008,ZL3/WC-460,20013.51
EA7/JA-143,ZL1/WK-053,20013.51
EA7/JA-160,ZL1/BP-036,20013.49
EA7/JA-090,ZL1/BP-080,20013.49
EA1/OU-038,ZL3/WC-356,20013.49
EA4/CC-079,ZL1/TN-002,20013.49
EA7/JA-014,ZL1/BP-140,20013.49
EA5/MU-076,ZL1/GI-004,20013.49
CT/TM-026,ZL3/TM-032,20013.48
EA1/OU-023,ZL3/TM-189,20013.47
EA7/AL-047,ZL1/BP-249,20013.46
CT/TM-017,ZL3/WC-518,20013.46
EA7/GR-015,ZL1/BP-190,20013.45
CT/TM-039,ZL3/MB-084,20013.45
EA7/JA-065,ZL1/GI-179,20013.44
EA7/JA-092,ZL1/BP-118,20013.44
EA5/MU-019,ZL1/GI-120,20013.42
EA5/MU-077,ZL1/GI-132,20013.42
EA1/OU-009,ZL3/MB-359,20013.42
EA4/CR-009,ZL1/HB-006,20013.41
EA1/LE-226,ZL3/CB-576,20013.41
EA7/GR-089,ZL1/BP-224,20013.41
JA6/KG-177,PY3/PA-010,20013.41
EA7/JA-034,ZL1/BP-027,20013.4
EA5/MU-011,ZL1/GI-105,20013.4
EA5/MU-068,ZL1/GI-148,20013.4
EA1/OU-030,ZL3/MB-082,20013.39
EA7/AL-010,ZL1/BP-221,20013.39
EA4/CR-105,ZL1/MW-156,20013.39
CT/TM-005,ZL3/MB-033,20013.39
EA5/AB-049,ZL1/HB-085,20013.38
EA4/CR-029,ZL1/WK-053,20013.38
EA5/MU-093,ZL1/GI-130,20013.38
EA4/TO-040,ZL1/HB-061,20013.37
EA5/MU-081,ZL1/GI-118,20013.37
EA1/LU-021,ZL3/CB-707,20013.37
EA4/CR-036,ZL1/BP-180,20013.37
EA1/PO-016,ZL3/WC-539,20013.36
EA7/CO-002,ZL1/WK-122,20013.36
EA7/AL-047,ZL1/BP-107,20013.36
EA1/LE-128,ZL3/CB-786,20013.35
EA1/OU-038,ZL3/WC-417,20013.35
EA1/ZA-011,ZL3/MB-044,20013.35
EA1/LU-077,ZL3/CB-500,20013.34
CT/TM-034,ZL3/WC-562,20013.34
EA5/AB-052,ZL1/GI-153,20013.34
EA7/JA-082,ZL1/BP-141,20013.32
EA7/AL-013,ZL1/BP-150,20013.31
CT/TM-016,ZL3/WC-396,20013.31
EA4/CR-045,ZL1/MW-038,20013.31
EA4/CR-038,ZL1/WK-068,20013.3
EA1/CR-046,ZL3/WC-021,20013.3
EA4/CR-041,ZL1/WK-070,20013.3
EA7/JA-102,ZL1/BP-227,20013.3
EA1/LU-050,ZL3/CB-719,20013.29
EA1/OU-020,ZL3/WC-649,20013.29
CT/MN-031,ZL3/WC-670,20013.29
EA1/CR-022,ZL3/WC-648,20013.28
EA5/AB-021,ZL1/GI-076,20013.28
EA4/CR-054,ZL1/BP-020,20013.28
EA4/CR-074,ZL1/WK-005,20013.28
EA7/MA-100,ZL1/AK-018,20013.28
EA5/AB-062,ZL1/GI-112,20013.27
CT/TM-057,ZL3/MB-039,20013.27
EA1/SG-014,ZL1/WL-095,20013.26
EA4/CR-085,ZL1/WK-023,20013.25
F/MC-195,ZL7/CI-007,20013.25
EA1/OU-045,ZL3/MB-144,20013.25
EA5/MU-052,ZL1/GI-018,20013.25
EA1/CR-043,ZL3/WC-126,20013.24
EA4/CR-035,ZL1/WK-095,20013.24
EA1/OU-037,ZL3/MB-115,20013.23
CT/MN-020,ZL3/WC-697,20013.23
EA4/CC-036,ZL1/TN-012,20013.23
EA1/OU-040,ZL3/WC-598,20013.23
EA4/CR-034,ZL1/HB-001,20013.22
EA4/CR-059,ZL1/WK-084,20013.2
EA7/AL-059,ZL1/BP-245,20013.2
EA1/LU-006,ZL3/CB-811,20013.2
EA5/MU-048,ZL1/BP-004,20013.19
EA5/AB-020,ZL1/BP-170,20013.19
EA7/CO-001,ZL1/WK-122,20013.19
EA7/GR-110,ZL1/BP-224,20013.19
CT/TM-034,ZL3/WC-241,20013.18
EA4/CR-057,ZL1/MW-036,20013.17
EA7/JA-121,ZL1/BP-251,20013.17
EA1/ZA-018,ZL3/CB-602,20013.17
EA5/AB-084,ZL1/GI-133,20013.17
EA1/OU-011,ZL3/WC-464,20013.16
EA1/LU-043,ZL3/CB-825,20013.16
EA1/LE-080,ZL3/CB-840,20013.15
CT/MN-013,ZL3/WC-654,20013.15
EA1/ZA-015,ZL3/MB-097,20013.15
EA7/JA-034,ZL1/BP-028,20013.14
EA4/CR-091,ZL1/WK-018,20013.14
EA5/AB-032,ZL1/GI-182,20013.13
EA4/TO-043,ZL1/MW-124,20013.13
EA1/CR-043,ZL3/WC-116,20013.12
EA1/CR-026,ZL3/WC-132,20013.12
EA1/PO-038,ZL3/WC-672,20013.12
EA5/AB-017,ZL1/BP-250,20013.1
EA7/AL-007,ZL1/BP-213,20013.1
EA5/MU-009,ZL1/BP-042,20013.1
EA5/MU-115,ZL1/GI-006,20013.1
EA1/LE-213,ZL3/CB-800,20013.09
EA7/JA-110,ZL1/BP-197,20013.09
CT/BA-032,ZL3/TM-249,20013.09
CT/MN-027,ZL3/WC-718,20013.08
EA7/CO-023,ZL1/BP-234,20013.08
EA1/CR-045,ZL3/WC-700,20013.08
EA1/LE-159,ZL3/CB-462,20013.07
EA1/OU-031,ZL3/WC-616,20013.07
CT/TM-020,ZL3/MB-046,20013.07
EA5/MU-046,ZL1/GI-031,20013.07
EA1/CR-043,ZL3/CB-131,20013.06
CT/MN-013,ZL3/WC-673,20013.05
EA4/CC-038,ZL1/TN-015,20013.04
EA1/PO-043,ZL3/WC-535,20013.04
EA7/MA-126,ZL1/WK-059,20013.03
EA1/CR-003,ZL3/WC-713,20013.03
EA1/OU-003,ZL3/CB-291,20013.02
EA4/BA-034,ZL1/MW-154,20013.02
EA5/MU-059,ZL1/GI-084,20013.02
JA6/KG-138,PP5/RS-089,20013.01
CT/TM-021,ZL3/WC-326,20013.01
EA4/BA-003,ZL1/WK-182,20013.01
EA1/LE-194,ZL3/CB-808,20013.01
EA1/LU-034,ZL3/CB-322,20013.01
EA7/GR-095,ZL1/WK-093,20013.01
EA1/LU-050,ZL3/CB-503,20013.0
EA1/SG-010,ZL1/WL-087,20013.0
CT/TM-020,ZL3/MB-045,20013.0
EA7/GR-082,ZL1/BP-057,20012.99
EA1/CR-012,ZL3/CB-319,20012.99
EA9/CE-001,ZL1/NL-101,20012.99
EA7/JA-082,ZL1/BP-080,20012.97
EA4/CC-096,ZL1/TN-001,20012.97
EA7/JA-123,ZL1/BP-174,20012.97
EA4/BA-066,ZL1/TN-022,20012.96
EA1/PO-017,ZL3/WC-258,20012.94
EA1/ZA-006,ZL3/MB-027,20012.94
EA7/JA-089,ZL1/BP-237,20012.94
EA7/CO-016,ZL1/WK-088,20012.94
EA1/OU-030,ZL3/MB-083,20012.93
EA7/AL-011,ZL1/BP-200,20012.93
CT/MN-031,ZL3/WC-674,20012.92
EA1/LE-108,ZL3/CB-846,20012.92
EA1/ZA-003,ZL3/MB-066,20012.92
EA1/ZA-017,ZL3/MB-135,20012.91
CT/BA-015,ZL3/TM-040,20012.91
EA5/AB-030,ZL1/GI-054,20012.9
EA4/TO-049,ZL1/MW-017,20012.9
EA1/PO-012,ZL3/WC-516,20012.9
EA1/PO-017,ZL3/CB-336,20012.89
EA7/AL-041,ZL1/BP-075,20012.89
CT/TM-021,ZL3/TM-063,20012.89
EA1/CR-019,ZL3/CB-110,20012.89
EA4/CR-117,ZL1/MW-157,20012.88
EA4/CR-018,ZL1/HB-047,20012.88
EA7/JA-107,ZL1/GI-047,20012.87
EA5/AB-023,ZL1/GI-188,20012.86
EA5/MU-070,ZL1/GI-130,20012.86
EA7/AL-005,ZL1/BP-228,20012.85
EA1/LU-022,ZL3/CB-683,20012.85
EA1/CR-035,ZL3/CB-651,20012.84
EA1/LE-159,ZL3/CB-524,20012.84
EA1/PO-024,ZL3/WC-702,20012.84
EA5/AB-064,ZL1/GI-025,20012.83
EA7/JA-103,ZL1/GI-057,20012.83
EA7/JA-036,ZL1/BP-164,20012.83
EA7/CO-020,ZL1/WK-035,20012.83
CT/TM-021,ZL3/WC-437,20012.82
EA5/AB-012,ZL1/GI-135,20012.82
EA5/AB-048,ZL1/GI-155,20012.82
EA7/JA-044,ZL1/BP-218,20012.82
EA7/JA-084,ZL1/BP-080,20012.82
EA4/MD-055,ZL1/WL-113,20012.82
CT/TM-050,ZL3/TM-155,20012.81
EA5/MU-118,ZL1/GI-106,20012.8
CT/TM-008,ZL3/WC-427,20012.8
EA5/AB-043,ZL1/GI-153,20012.8
EA1/LU-013,ZL3/CB-727,20012.79
EA7/JA-124,ZL1/GI-024,20012.78
EA1/CR-010,ZL3/CB-246,20012.77
EA1/OU-018,ZL3/CB-420,20012.77
EA5/MU-066,ZL1/GI-130,20012.77
EA1/OU-041,ZL3/CB-447,20012.76
CT/MN-008,ZL3/WC-574,20012.75
EA4/CR-009,ZL1/HB-004,20012.75
EA7/JA-065,ZL1/BP-082,20012.75
EA1/CR-047,ZL3/CB-594,20012.75
EA4/CR-090,ZL1/MW-115,20012.75
EA4/CR-057,ZL1/MW-025,20012.74
EA7/AL-041,ZL1/BP-085,20012.74
EA1/CR-013,ZL3/CB-189,20012.74
EA7/GR-033,ZL1/WK-060,20012.74
EA1/SG-014,ZL1/WL-091,20012.73
EA7/MA-032,ZL1/WK-114,20012.73
EA1/LE-174,ZL3/CB-794,20012.73
EA7/JA-046,ZL1/BP-186,20012.72
EA5/AB-088,ZL1/GI-145,20012.72
EA1/OU-028,ZL3/TM-027,20012.71
EA5/MU-047,ZL1/GI-037,20012.71
EA1/OU-045,ZL3/MB-150,20012.71
EA5/MU-002,ZL1/BP-009,20012.7
EA1/LE-128,ZL3/CB-747,20012.7
EA1/CR-047,ZL3/CB-666,20012.7
EA1/CR-020,ZL3/CB-610,20012.7
EA1/OU-018,ZL3/CB-438,20012.69
EA7/JA-051,ZL1/BP-140,20012.69
EA4/BA-023,ZL1/WK-182,20012.69
CT/TM-052,ZL3/TM-270,20012.69
EA1/OU-014,ZL3/WC-244,20012.68
EA1/CR-035,ZL3/CB-763,20012.68
EA1/OU-047,ZL3/TM-193,20012.68
CT/MN-027,ZL3/WC-674,20012.67
EA1/ZA-015,ZL3/MB-102,20012.67
EA1/PO-042,ZL3/WC-575,20012.66
EA1/CR-010,ZL3/CB-404,20012.65
EA1/LE-080,ZL3/CB-794,20012.65
EA5/AB-016,ZL1/BP-255,20012.65
CT/TM-057,ZL3/MB-057,20012.65
EA1/LU-045,ZL3/CB-412,20012.65
EA4/CR-052,ZL1/WK-001,20012.65
EA5/AB-021,ZL1/GI-071,20012.64
EA1/SG-004,ZL1/WL-087,20012.64
CT/MN-021,ZL3/WC-474,20012.64
EA1/CR-043,ZL3/CB-161,20012.63
EA4/CR-091,ZL1/WK-025,20012.63
JA6/KG-177,PY3/PA-020,20012.63
EA7/JA-017,ZL1/BP-078,20012.62
EA1/LE-038,ZL3/MB-120,20012.62
EA1/ZA-015,ZL3/MB-119,20012.62
EA4/CR-040,ZL1/WK-095,20012.62
CT/MN-003,ZL3/WC-675,20012.61
EA4/TO-030,ZL1/MW-095,20012.61
EA7/CO-021,ZL1/WK-208,20012.59
CT/TM-029,ZL3/TM-113,20012.59
EA1/LU-042,ZL3/CB-703,20012.59
EA1/LU-023,ZL3/WC-273,20012.58
EA1/OU-036,ZL3/WC-598,20012.58
EA1/LE-117,ZL3/CB-848,20012.58
EA7/CO-058,ZL1/WK-066,20012.58
EA1/LU-013,ZL3/CB-754,20012.58
EA5/MU-004,ZL1/GI-018,20012.58
EA1/CR-016,ZL3/WC-458,20012.57
EA1/AV-016,ZL1/MW-079,20012.57
EA1/ZA-002,ZL3/CB-520,20012.57
CT/MN-051,ZL3/WC-665,20012.56
EA7/JA-092,ZL1/BP-138,20012.56
EA7/JA-017,ZL1/BP-084,20012.55
EA1/PO-039,ZL3/WC-658,20012.55
EA7/JA-065,ZL1/BP-094,20012.54
EA5/MU-044,ZL1/GI-037,20012.54
EA1/LU-023,ZL3/WC-247,20012.54
CT/BA-020,ZL3/WC-384,20012.54
EA4/CR-046,ZL1/HB-047,20012.53
EA4/CR-046,ZL1/HB-162,20012.53
EA4/CR-059,ZL1/WK-071,20012.53
EA7/JA-014,ZL1/BP-155,20012.53
EA4/CR-074,ZL1/MW-002,20012.53
EA7/JA-159,ZL1/WK-121,20012.52
EA4/CR-043,ZL1/BP-095,20012.51
EA7/JA-061,ZL1/BP-054,20012.5
EA1/CR-047,ZL3/CB-643,20012.49
EA7/JA-074,ZL1/BP-100,20012.49
EA1/CR-027,ZL3/CB-166,20012.49
EA4/BA-054,ZL1/TN-016,20012.47
CT/BA-026,ZL3/TM-129,20012.46
EA1/CR-016,ZL3/WC-459,20012.46
EA5/MU-001,ZL1/GI-007,20012.46
EA7/CA-029,ZL1/AK-023,20012.46
EA5/AB-018,ZL1/GI-052,20012.46
EA7/JA-108,ZL1/BP-172,20012.45
EA1/PO-009,ZL3/WC-657,20012.45
EA1/CR-019,ZL3/WC-215,20012.45
EA1/OU-017,ZL3/MB-026,20012.45
EA1/CR-023,ZL3/WC-174,20012.44
EA4/CR-037,ZL1/BP-180,20012.44
EA4/CR-086,ZL1/MW-140,20012.44
CT/MN-014,ZL3/WC-563,20012.44
EA1/CR-013,ZL3/CB-181,20012.44
EA7/JA-138,ZL1/WK-111,20012.44
EA1/LE-226,ZL3/CB-439,20012.44
EA5/AB-073,ZL1/GI-092,20012.44
EA1/CR-046,ZL3/WC-050,20012.44
EA1/OU-024,ZL3/WC-505,20012.44
EA1/OU-020,ZL3/WC-643,20012.42
EA1/PO-022,ZL3/WC-732,20012.42
EA1/CR-023,ZL3/WC-196,20012.41
EA1/LE-214,ZL3/CB-884,20012.41
CT/TM-058,ZL3/TM-239,20012.41
CT/TM-029,ZL3/TM-088,20012.41
EA4/CR-013,ZL1/BP-149,20012.41
EA4/CR-090,ZL1/WK-099,20012.41
EA5/MU-092,ZL1/GI-010,20012.41
EA1/PO-017,ZL3/WC-261,20012.4
EA4/CR-072,ZL1/MW-015,20012.4
CT/MN-021,ZL3/WC-441,20012.4
CT/MN-013,ZL3/WC-735,20012.39
EA1/PO-007,ZL3/WC-382,20012.38
EA5/MU-079,ZL1/GI-001,20012.38
EA4/CR-116,ZL1/WK-102,20012.38
EA1/LU-054,ZL3/CB-526,20012.38
CT/TM-022,ZL3/TM-112,20012.37
EA1/OU-036,ZL3/WC-587,20012.36
CT/TM-045,ZL3/TM-266,20012.36
CT/MN-014,ZL3/WC-606,20012.35
EA5/AB-020,ZL1/BP-122,20012.35
EA7/JA-110,ZL1/BP-206,20012.34
EA7/JA-055,ZL1/BP-198,20012.34
EA7/JA-090,ZL1/BP-177,20012.34
EA1/OU-025,ZL3/WC-408,20012.34
EA1/LU-009,ZL3/CB-827,20012.33
EA1/LE-266,ZL3/CB-681,20012.33
EA1/OU-003,ZL3/CB-303,20012.32
EA1/ZA-013,ZL3/MB-274,20012.32
EA4/CR-048,ZL1/WK-070,20012.32
EA1/LE-278,ZL3/CB-829,20012.32
EA7/JA-144,ZL1/BP-236,20012.32
CT/TM-004,ZL3/TM-091,20012.32
EA4/CR-054,ZL1/BP-025,20012.32
EA5/MU-096,ZL1/GI-017,20012.31
EA7/JA-107,ZL1/GI-025,20012.31
EA7/CO-056,ZL1/WK-188,20012.31
CT/TM-047,ZL3/TM-233,20012.29
EA1/ZA-015,ZL3/MB-363,20012.29
EA1/LU-012,ZL3/CB-818,20012.28
EA5/AB-037,ZL1/GI-135,20012.28
CT/TM-051,ZL3/WC-703,20012.28
CT/MN-003,ZL3/WC-680,20012.27
EA5/MU-103,ZL1/GI-043,20012.27
EA7/JA-136,ZL1/BP-129,20012.27
EA1/LU-078,ZL3/CB-729,20012.27
CT/TM-039,ZL3/TM-055,20012.27
EA1/ZA-006,ZL3/MB-029,20012.27
EA7/JA-084,ZL1/BP-177,20012.27
EA1/CR-037,ZL3/CB-849,20012.26
EA1/ZA-008,ZL3/MB-191,20012.26
EA1/LU-042,ZL3/CB-685,20012.26
EA1/OU-001,ZL3/MB-150,20012.26
EA4/CR-012,ZL1/WK-071,20012.26
EA4/CR-114,ZL1/MW-170,20012.26
EA1/CR-038,ZL3/CB-654,20012.25
EA1/OU-002,ZL3/CB-505,20012.25
EA7/JA-121,ZL1/BP-115,20012.25
EA1/CR-012,ZL3/CB-287,20012.25
EA1/LU-051,ZL3/CB-423,20012.25
CT/MN-021,ZL3/WC-476,20012.25
EA5/AB-031,ZL1/GI-021,20012.24
EA5/MU-043,ZL1/GI-031,20012.24
EA1/LU-042,ZL3/CB-736,20012.24
EA1/LE-174,ZL3/CB-661,20012.24
CT/BA-026,ZL3/TM-205,20012.23
EA1/CR-038,ZL3/CB-663,20012.23
EA7/MA-126,ZL1/WK-093,20012.22
EA7/JA-141,ZL1/WK-030,20012.22
EA4/MD-047,ZL1/MW-150,20012.22
EA1/ZA-017,ZL3/MB-158,20012.21
EA5/AB-047,ZL1/GI-016,20012.2
EA5/AB-075,ZL1/GI-091,20012.2
EA7/JA-124,ZL1/GI-177,20012.2
EA5/MU-089,ZL1/GI-108,20012.19
EA7/CO-021,ZL1/WK-112,20012.19
EA5/MU-001,ZL1/BP-014,20012.18
