summit1,summit2,distance_km
EA1/CR-046,ZL3/WC-150,20012.18
EA1/OU-043,ZL3/CB-232,20012.17
EA4/CR-080,ZL1/WK-009,20012.17
EA5/MU-054,ZL1/GI-187,20012.17
EA7/JA-155,ZL1/BP-171,20012.17
EA7/MA-075,ZL1/WK-172,20012.16
EA7/JA-122,ZL1/BP-202,20012.16
EA1/PO-017,ZL3/WC-240,20012.15
CT/TM-015,ZL3/TM-236,20012.15
EA5/MU-077,ZL1/GI-108,20012.15
EA1/OU-007,ZL3/MB-077,20012.15
EA1/OU-048,ZL3/MB-021,20012.15
EA5/AB-061,ZL1/GI-131,20012.14
EA4/TO-012,ZL1/MW-139,20012.14
EA1/LU-041,ZL3/CB-289,20012.14
EA4/CR-045,ZL1/MW-012,20012.14
EA4/CR-082,ZL1/WK-033,20012.14
CT/TM-052,ZL3/TM-219,20012.14
EA4/CC-061,ZL1/TN-007,20012.14
EA7/MA-096,ZL1/WK-141,20012.13
EA4/CR-044,ZL1/MW-031,20012.13
EA1/OU-050,ZL3/WC-273,20012.12
EA1/ZA-006,ZL3/MB-019,20012.12
EA1/LE-267,ZL3/CB-375,20012.11
EA1/LU-029,ZL3/CB-758,20012.11
EA5/AB-018,ZL1/GI-179,20012.11
EA1/PO-004,ZL3/WC-676,20012.11
EA4/TO-010,ZL1/HB-014,20012.11
EA5/AB-069,ZL1/GI-092,20012.1
EA1/CR-005,ZL3/CB-805,20012.1
EA1/LE-267,ZL3/CB-348,20012.1
EA1/ZA-003,ZL3/MB-081,20012.1
EA7/JA-126,ZL1/WK-032,20012.09
CT/TM-044,ZL3/TM-061,20012.09
EA7/JA-022,ZL1/BP-078,20012.09
EA1/ZA-017,ZL3/MB-200,20012.08
EA1/LU-032,ZL3/CB-810,20012.08
EA1/OU-005,ZL3/CB-465,20012.07
EA7/JA-061,ZL1/GI-179,20012.06
EA1/LU-041,ZL3/CB-487,20012.06
EA5/AB-019,ZL1/BP-181,20012.06
EA1/LE-214,ZL3/CB-743,20012.05
EA5/MU-063,ZL1/BP-005,20012.05
CT/TM-008,ZL3/WC-416,20012.05
EA5/AB-034,ZL1/GI-049,20012.05
EA7/JA-017,ZL1/BP-082,20012.05
EA1/CR-031,ZL3/CB-183,20012.05
EA7/MA-115,ZL1/WK-224,20012.05
EA4/CR-042,ZL1/WK-024,20012.05
EA5/MU-094,ZL1/GI-010,20012.05
EA1/PO-027,ZL3/WC-615,20012.04
EA7/JA-103,ZL1/GI-036,20012.04
EA1/LU-081,ZL3/CB-822,20012.04
EA7/JA-136,ZL1/WK-089,20012.03
EA4/CR-066,ZL1/WK-005,20012.03
EA7/JA-034,ZL1/BP-056,20012.03
CT/BA-026,ZL3/TM-116,20012.02
EA1/OU-035,ZL3/WC-652,20012.02
EA1/ZA-016,ZL3/MB-200,20012.02
EA1/LU-041,ZL3/CB-355,20012.02
EA1/LE-138,ZL3/CB-425,20012.02
EA1/LU-019,ZL3/CB-410,20012.01
EA1/LU-022,ZL3/CB-692,20012.01
EA1/OU-045,ZL3/MB-153,20012.01
EA7/JA-050,ZL1/BP-157,20012.01
EA1/LE-191,ZL3/CB-838,20012.0
EA1/PO-010,ZL3/WC-705,20012.0
EA7/JA-068,ZL1/BP-198,20012.0
CT/MN-025,ZL3/WC-573,20012.0
CT/MN-013,ZL3/WC-620,20011.99
EA5/AB-024,ZL1/GI-114,20011.99
CT/TM-039,ZL3/TM-069,20011.99
CT/TM-050,ZL3/TM-165,20011.99
EA5/AB-087,ZL1/GI-147,20011.99
EA7/CO-011,ZL1/WK-169,20011.99
EA7/JA-014,ZL1/BP-066,20011.99
EA7/MA-071,ZL1/WK-048,20011.99
EA1/CR-023,ZL3/WC-272,20011.98
EA1/PO-007,ZL3/WC-340,20011.98
EA7/AL-013,ZL1/BP-245,20011.98
EA4/TO-044,ZL1/MW-061,20011.98
CT/TM-025,ZL3/WC-522,20011.98
EA5/AB-017,ZL1/BP-127,20011.97
EA5/AB-016,ZL1/BP-181,20011.96
EA7/JA-114,ZL1/WK-089,20011.96
EA7/JA-063,ZL1/BP-078,20011.96
EA5/MU-095,ZL1/GI-132,20011.96
EA4/CR-045,ZL1/MW-014,20011.96
CT/MN-051,ZL3/WC-684,20011.96
EA7/AL-041,ZL1/BP-058,20011.95
EA1/ZA-015,ZL3/MB-009,20011.95
EA1/LE-282,ZL3/CB-712,20011.95
EA1/OU-001,ZL3/MB-145,20011.95
EA1/CR-038,ZL3/CB-723,20011.94
EA4/CR-066,ZL1/MW-003,20011.94
EA7/CO-010,ZL1/WK-122,20011.94
EA1/LU-004,ZL3/CB-573,20011.94
EA7/JA-011,ZL1/BP-230,20011.94
EA1/SG-019,ZL1/MW-150,20011.94
EA7/CA-031,ZL1/AK-013,20011.94
EA7/JA-097,ZL1/GI-044,20011.94
CT/BA-015,ZL3/TM-035,20011.94
EA1/CR-018,ZL3/CB-779,20011.94
EA1/OU-007,ZL3/MB-089,20011.94
EA7/JA-046,ZL1/BP-143,20011.93
EA1/OU-043,ZL3/CB-243,20011.93
EA4/CR-033,ZL1/WK-090,20011.93
EA1/OU-029,ZL3/TM-014,20011.93
CT/BA-015,ZL3/TM-288,20011.93
EA1/LU-002,ZL3/CB-623,20011.93
EA1/PO-025,ZL3/WC-720,20011.93
EA4/CR-083,ZL1/MW-163,20011.92
EA7/AL-034,ZL1/BP-243,20011.92
EA1/LE-226,ZL3/CB-427,20011.91
EA4/CR-043,ZL1/BP-071,20011.91
EA4/TO-041,ZL1/MW-044,20011.91
EA7/JA-123,ZL1/BP-191,20011.91
EA5/MU-042,ZL1/BP-014,20011.9
EA5/AB-049,ZL1/HB-079,20011.9
EA7/GR-068,ZL1/WK-166,20011.9
EA5/AB-033,ZL1/GI-184,20011.89
EA7/JA-158,ZL1/BP-238,20011.89
EA7/GR-021,ZL1/BP-264,20011.89
EA4/CR-032,ZL1/WK-123,20011.88
EA1/LU-034,ZL3/CB-381,20011.87
EA5/AB-037,ZL1/GI-152,20011.87
CT/TM-038,ZL3/TM-235,20011.86
EA1/OU-010,ZL3/TM-222,20011.86
EA5/AB-040,ZL1/GI-143,20011.86
EA1/CR-047,ZL3/CB-696,20011.86
EA4/CR-116,ZL1/WK-123,20011.86
EA7/CO-068,ZL1/WK-139,20011.86
EA7/MA-046,ZL1/WK-048,20011.86
EA1/PO-041,ZL3/WC-571,20011.85
EA4/CR-053,ZL1/HB-041,20011.85
EA5/AB-048,ZL1/GI-131,20011.85
EA4/CR-044,ZL1/MW-043,20011.84
EA5/MU-053,ZL1/GI-148,20011.84
CT/BA-016,ZL3/WC-350,20011.83
EA1/CR-017,ZL3/WC-547,20011.83
EA1/ZA-018,ZL3/CB-752,20011.83
EA1/CR-007,ZL3/WC-691,20011.82
EA4/CR-063,ZL1/BP-048,20011.81
EA4/MD-020,ZL1/MW-189,20011.81
EA5/MU-054,ZL1/GI-109,20011.81
EA4/CR-052,ZL1/WK-010,20011.8
EA7/AL-007,ZL1/BP-216,20011.8
EA7/AL-047,ZL1/BP-219,20011.8
EA7/JA-122,ZL1/BP-191,20011.8
CT/TM-015,ZL3/TM-260,20011.8
EA4/TO-035,ZL1/MW-029,20011.8
EA7/JA-155,ZL1/BP-151,20011.8
EA7/JA-121,ZL1/BP-069,20011.79
CT/TM-058,ZL3/TM-262,20011.79
EA5/AB-021,ZL1/GI-032,20011.79
EA5/AB-051,ZL1/GI-016,20011.79
EA7/MA-017,ZL1/WK-048,20011.78
EA1/LU-002,ZL3/CB-662,20011.78
EA7/JA-137,ZL1/BP-103,20011.77
EA4/CR-053,ZL1/HB-015,20011.77
EA5/AB-016,ZL1/BP-127,20011.77
EA7/MA-016,ZL1/AK-020,20011.76
EA7/MA-086,ZL1/WK-077,20011.76
EA1/CR-047,ZL3/CB-686,20011.76
EA1/LE-038,ZL3/MB-145,20011.74
EA1/OU-038,ZL3/WC-392,20011.74
EA7/GR-024,ZL1/WK-166,20011.73
EA1/OU-037,ZL3/MB-082,20011.73
EA4/CR-081,ZL1/HB-170,20011.73
CT/BA-019,ZL3/TM-152,20011.73
EA5/MU-094,ZL1/GI-082,20011.73
EA1/OU-015,ZL3/TM-017,20011.72
EA1/AT-149,ZL3/CB-845,20011.72
CT/TM-045,ZL3/TM-264,20011.72
EA7/GR-082,ZL1/BP-241,20011.71
EA1/AT-032,ZL3/CB-848,20011.71
EA1/LU-056,ZL3/CB-810,20011.71
EA5/MU-001,ZL1/GI-035,20011.7
EA4/CR-080,ZL1/WK-003,20011.7
EA1/LU-046,ZL3/CB-553,20011.69
EA4/TO-052,ZL1/MW-139,20011.69
EA5/AB-099,ZL1/GI-089,20011.69
EA1/OU-029,ZL3/TM-005,20011.69
EA7/JA-126,ZL1/WK-030,20011.68
EA7/JA-123,ZL1/BP-192,20011.68
EA4/CR-114,ZL1/MW-161,20011.68
EA5/MU-032,ZL1/GI-133,20011.68
EA7/JA-156,ZL1/WK-102,20011.68
EA1/CR-013,ZL3/CB-212,20011.67
EA4/CR-080,ZL1/WK-008,20011.67
EA7/AL-034,ZL1/BP-042,20011.67
EA1/OU-026,ZL3/TM-028,20011.66
EA1/OU-043,ZL3/CB-311,20011.66
EA7/MA-098,ZL1/WK-224,20011.66
EA1/ZA-002,ZL3/CB-627,20011.66
EA7/JA-164,ZL1/BP-133,20011.66
EA1/PO-045,ZL3/WC-486,20011.65
CT/TM-008,ZL3/WC-561,20011.65
EA1/LU-050,ZL3/CB-455,20011.65
EA7/JA-063,ZL1/BP-066,20011.65
EA1/PO-041,ZL3/WC-559,20011.65
EA1/OU-019,ZL3/CB-345,20011.64
EA7/GR-033,ZL1/WK-073,20011.64
CT/MN-026,ZL3/WC-666,20011.64
EA1/CR-047,ZL3/CB-715,20011.63
CT/TM-020,ZL3/MB-362,20011.63
EA1/PO-011,ZL3/WC-559,20011.63
EA1/CR-008,ZL3/WC-648,20011.62
EA1/OU-024,ZL3/WC-455,20011.62
EA5/AB-065,ZL1/GI-136,20011.62
EA7/JA-121,ZL1/BP-131,20011.61
EA1/CR-013,ZL3/WC-120,20011.61
EA4/MD-056,ZL1/MW-167,20011.6
EA1/ZA-018,ZL3/MB-183,20011.6
EA1/LU-057,ZL3/CB-292,20011.6
EA5/AB-019,ZL1/BP-167,20011.6
EA7/GR-033,ZL1/WK-072,20011.6
EA1/LE-179,ZL3/CB-439,20011.59
CT/TM-058,ZL3/TM-233,20011.59
EA7/CO-043,ZL1/WK-149,20011.59
EA7/CO-067,ZL1/WK-120,20011.59
EA7/JA-058,ZL1/GI-179,20011.59
CT/TM-044,ZL3/TM-088,20011.59
EA5/MU-076,ZL1/GI-003,20011.59
EA1/OU-050,ZL3/WC-349,20011.58
EA5/MU-079,ZL1/GI-017,20011.58
CT/BA-004,ZL3/TM-281,20011.58
EA5/MU-016,ZL1/BP-076,20011.58
EA1/CR-019,ZL3/WC-169,20011.58
EA1/LE-203,ZL3/CB-799,20011.57
EA7/MA-075,ZL1/WK-173,20011.57
CT/MN-014,ZL3/WC-568,20011.57
CT/TM-027,ZL3/TM-115,20011.57
EA7/JA-082,ZL1/BP-078,20011.57
EA1/PO-027,ZL3/WC-720,20011.57
EA1/LU-042,ZL3/CB-722,20011.57
EA5/MU-057,ZL1/GI-077,20011.57
EA7/JA-058,ZL1/GI-053,20011.57
CT/TM-033,ZL3/TM-205,20011.57
EA7/JA-124,ZL1/BP-131,20011.57
EA1/OU-015,ZL3/TM-001,20011.56
EA4/CR-033,ZL1/WK-095,20011.56
EA5/MU-074,ZL1/GI-068,20011.56
EA7/GR-095,ZL1/WK-059,20011.56
EA1/OU-040,ZL3/WC-544,20011.56
CT/TM-057,ZL3/MB-071,20011.54
EA1/SG-001,ZL1/WL-141,20011.54
EA5/AB-064,ZL1/GI-030,20011.53
EA4/BA-021,ZL1/MW-171,20011.53
EA7/JA-124,ZL1/GI-036,20011.53
EA1/LE-267,ZL3/CB-247,20011.52
CT/TM-029,ZL3/WC-232,20011.52
EA5/AB-016,ZL1/BP-148,20011.52
EA5/AB-084,ZL1/GI-145,20011.52
CT/MN-003,ZL3/WC-629,20011.51
EA4/CR-085,ZL1/WK-033,20011.51
EA7/SE-023,ZL1/AK-004,20011.51
EA1/OU-012,ZL3/CB-447,20011.51
EA7/JA-022,ZL1/BP-080,20011.51
EA1/CR-043,ZL3/CB-100,20011.5
EA1/LE-179,ZL3/CB-427,20011.49
EA1/ZA-017,ZL3/MB-128,20011.49
EA7/JA-066,ZL1/BP-202,20011.49
EA1/CR-043,ZL3/CB-212,20011.49
EA4/CR-043,ZL1/BP-165,20011.49
EA5/MU-011,ZL1/BP-221,20011.49
EA1/LU-042,ZL3/CB-745,20011.49
EA1/OU-004,ZL3/TM-018,20011.49
EA5/MU-059,ZL1/GI-105,20011.49
EA1/OU-042,ZL3/MB-031,20011.48
EA4/CR-027,ZL1/WK-084,20011.48
EA1/ZA-011,ZL3/MB-180,20011.48
EA4/TO-035,ZL1/HB-004,20011.48
EA1/LU-013,ZL3/CB-692,20011.48
EA7/JA-066,ZL1/BP-184,20011.46
CT/TM-017,ZL3/WC-426,20011.46
EA1/LE-280,ZL3/CB-803,20011.45
EA1/LU-046,ZL3/CB-372,20011.45
EA4/TO-040,ZL1/HB-166,20011.45
EA7/AL-013,ZL1/BP-076,20011.45
EA7/MA-045,ZL1/WK-219,20011.45
EA7/AL-007,ZL1/BP-228,20011.45
EA7/JA-050,ZL1/BP-066,20011.45
EA1/OU-002,ZL3/MB-113,20011.44
EA4/TO-034,ZL1/MW-096,20011.44
EA4/CR-093,ZL1/MW-068,20011.44
EA1/CR-025,ZL3/WC-555,20011.43
EA7/CO-063,ZL1/WK-130,20011.43
EA5/MU-060,ZL1/BP-009,20011.43
EA1/CR-031,ZL3/CB-172,20011.43
EA4/CR-087,ZL1/MW-090,20011.43
EA5/MU-078,ZL1/GI-110,20011.42
EA1/CR-025,ZL3/WC-486,20011.42
EA1/LE-226,ZL3/CB-517,20011.42
EA4/CR-067,ZL1/MW-001,20011.42
EA5/AB-019,ZL1/BP-122,20011.42
EA1/CR-019,ZL3/CB-314,20011.41
EA1/CR-046,ZL3/WC-141,20011.41
EA1/PO-019,ZL3/WC-731,20011.41
EA7/GR-015,ZL1/BP-170,20011.39
EA5/AB-025,ZL1/GI-014,20011.39
EA1/OU-001,ZL3/MB-014,20011.39
CT/MN-026,ZL3/WC-498,20011.39
EA7/AL-010,ZL1/BP-249,20011.38
EA1/OU-011,ZL3/WC-536,20011.38
EA1/OU-032,ZL3/MB-058,20011.38
EA5/MU-016,ZL1/GI-084,20011.38
EA1/CR-031,ZL3/CB-207,20011.38
EA1/LE-059,ZL3/CB-813,20011.38
EA1/OU-001,ZL3/MB-076,20011.37
CT/TM-020,ZL3/MB-030,20011.37
EA4/MD-020,ZL1/MW-166,20011.36
EA7/JA-035,ZL1/BP-236,20011.36
EA7/CA-045,ZL1/AK-014,20011.36
EA5/AB-028,ZL1/GI-020,20011.36
EA1/LU-001,ZL3/CB-778,20011.36
EA5/AB-022,ZL1/GI-098,20011.35
EA7/JA-103,ZL1/GI-024,20011.35
EA7/JA-017,ZL1/BP-054,20011.34
EA1/OU-020,ZL3/WC-633,20011.34
EA5/MU-054,ZL1/GI-108,20011.34
EA1/LE-138,ZL3/CB-247,20011.34
EA5/AB-003,ZL1/GI-080,20011.34
EA7/CA-055,ZL1/NL-111,20011.33
EA5/AB-024,ZL1/GI-181,20011.33
CT/BA-032,ZL3/TM-241,20011.33
CT/BA-020,ZL3/TM-051,20011.33
EA1/CR-026,ZL3/WC-144,20011.33
EA1/CR-036,ZL3/WC-599,20011.33
EA1/LU-020,ZL3/CB-519,20011.32
EA1/OU-045,ZL3/MB-066,20011.32
EA4/CC-074,ZL1/TN-005,20011.32
EA1/CR-045,ZL3/WC-709,20011.32
EA4/CR-058,ZL1/MW-021,20011.31
EA4/BA-050,ZL1/MW-192,20011.31
EA4/CR-071,ZL1/WK-005,20011.31
EA1/CR-037,ZL3/CB-172,20011.3
EA7/AL-010,ZL1/GI-105,20011.3
EA1/LE-282,ZL3/CB-644,20011.3
EA5/AB-092,ZL1/GI-145,20011.3
EA1/OU-007,ZL3/MB-105,20011.3
EA5/MU-063,ZL1/GI-005,20011.29
EA7/JA-055,ZL1/BP-185,20011.29
EA5/AB-021,ZL1/GI-069,20011.29
EA5/AB-072,ZL1/GI-126,20011.28
CT/TM-032,ZL3/WC-450,20011.28
EA7/JA-084,ZL1/BP-141,20011.28
EA5/AB-005,ZL1/GI-090,20011.28
CT/TM-033,ZL3/TM-174,20011.28
EA7/MA-029,ZL1/AK-026,20011.28
EA1/AV-049,ZL1/MW-106,20011.27
EA4/MD-017,ZL1/MW-180,20011.27
EA5/MU-139,ZL1/GI-123,20011.27
EA7/JA-084,ZL1/BP-046,20011.27
EA1/CR-046,ZL3/WC-079,20011.27
EA5/AB-037,ZL1/GI-144,20011.27
EA1/PO-030,ZL3/WC-590,20011.27
EA7/JA-163,ZL1/BP-163,20011.26
EA7/JA-056,ZL1/BP-054,20011.26
EA4/CR-082,ZL1/WK-023,20011.26
EA5/AB-045,ZL1/GI-135,20011.26
CT/TM-024,ZL3/MB-088,20011.25
EA7/AL-010,ZL1/BP-214,20011.25
EA4/TO-035,ZL1/HB-008,20011.25
EA5/MU-056,ZL1/GI-031,20011.25
EA1/OU-048,ZL3/MB-022,20011.25
CT/MN-013,ZL3/WC-730,20011.24
EA7/MA-101,ZL1/AK-010,20011.24
EA4/CR-079,ZL1/WK-058,20011.23
EA7/AL-005,ZL1/BP-215,20011.23
EA7/MA-086,ZL1/WK-048,20011.23
CT/MN-002,ZL3/WC-654,20011.23
EA1/OU-038,ZL3/WC-442,20011.23
EA5/AB-023,ZL1/GI-184,20011.22
EA5/AB-021,ZL1/GI-026,20011.22
EA7/JA-103,ZL1/GI-178,20011.22
EA4/CR-080,ZL1/WK-007,20011.22
CT/TM-044,ZL3/WC-339,20011.22
EA5/AB-017,ZL1/BP-126,20011.21
EA7/CO-023,ZL1/BP-223,20011.21
EA1/ZA-008,ZL3/MB-366,20011.21
EA5/AB-021,ZL1/GI-062,20011.21
EA4/TO-027,ZL1/MW-124,20011.21
EA1/CR-026,ZL3/WC-141,20011.21
EA7/AL-034,ZL1/BP-039,20011.21
EA1/CR-007,ZL3/WC-648,20011.2
EA1/ZA-015,ZL3/MB-110,20011.2
EA5/MU-009,ZL1/BP-243,20011.2
CT/MN-016,ZL3/WC-426,20011.2
EA7/JA-137,ZL1/BP-259,20011.19
EA5/AB-064,ZL1/GI-056,20011.19
EA1/CR-031,ZL3/WC-080,20011.19
EA1/LE-258,ZL3/CB-777,20011.19
EA7/JA-014,ZL1/BP-198,20011.19
EA7/CA-070,ZL1/NL-089,20011.19
EA7/GR-071,ZL1/BP-207,20011.19
EA7/JA-046,ZL1/BP-196,20011.18
EA1/CR-031,ZL3/WC-083,20011.18
CT/TM-043,ZL3/WC-663,20011.18
EA4/CR-052,ZL1/MW-025,20011.17
EA4/TO-041,ZL1/MW-015,20011.17
EA9/CE-001,ZL1/NL-084,20011.17
F/PE-388,ZL7/CI-006,20011.17
CT/MN-002,ZL3/WC-730,20011.17
CT/BA-031,ZL3/TM-152,20011.17
EA1/LE-018,ZL3/CB-425,20011.16
EA7/GR-082,ZL1/BP-173,20011.16
EA7/JA-017,ZL1/GI-179,20011.15
EA1/CR-042,ZL3/CB-782,20011.15
EA1/PO-014,ZL3/WC-519,20011.15
EA4/CR-043,ZL1/BP-158,20011.15
EA7/CA-010,ZL1/NL-069,20011.15
EA4/CR-072,ZL1/MW-046,20011.14
EA5/AB-062,ZL1/GI-138,20011.14
CT/TM-036,ZL3/WC-727,20011.14
EA1/CR-050,ZL3/CB-444,20011.14
EA4/BA-038,ZL1/MW-152,20011.14
EA1/LE-251,ZL3/CB-524,20011.14
EA1/OU-045,ZL3/MB-161,20011.14
EA4/CR-110,ZL1/MW-156,20011.14
EA5/MU-066,ZL1/GI-132,20011.14
EA7/AL-011,ZL1/BP-104,20011.13
EA7/JA-061,ZL1/BP-078,20011.13
CT/TM-005,ZL3/MB-017,20011.12
EA1/CR-036,ZL3/WC-557,20011.12
EA1/LE-156,ZL3/CB-661,20011.12
CT/TM-008,ZL3/WC-401,20011.11
EA1/LU-019,ZL3/WC-349,20011.11
EA1/LE-038,ZL3/MB-014,20011.11
EA1/LU-004,ZL3/CB-415,20011.11
EA1/SG-005,ZL1/MW-150,20011.11
EA5/MU-042,ZL1/BP-001,20011.1
EA5/MU-104,ZL1/GI-043,20011.1
EA1/LU-019,ZL3/WC-247,20011.1
EA7/MA-126,ZL1/WK-060,20011.1
EA1/OU-046,ZL3/WC-536,20011.1
CT/TM-009,ZL3/TM-195,20011.1
EA1/CR-023,ZL3/WC-176,20011.09
EA1/SG-018,ZL1/WL-094,20011.09
EA4/TO-025,ZL1/HB-014,20011.09
CT/BA-022,ZL3/WC-360,20011.09
CT/TM-038,ZL3/TM-250,20011.08
EA1/OU-010,ZL3/TM-172,20011.08
EA4/TO-002,ZL1/MW-084,20011.08
EA7/AL-011,ZL1/BP-107,20011.08
EA1/OU-005,ZL3/CB-528,20011.08
EA5/AB-020,ZL1/BP-190,20011.08
EA1/CR-010,ZL3/CB-492,20011.07
EA1/OU-035,ZL3/WC-335,20011.07
EA5/MU-072,ZL1/GI-068,20011.07
EA7/AL-041,ZL1/BP-089,20011.07
CT/TM-057,ZL3/MB-024,20011.07
EA1/LU-050,ZL3/CB-484,20011.07
EA4/CR-044,ZL1/MW-050,20011.07
EA4/CR-117,ZL1/MW-161,20011.07
EA7/JA-074,ZL1/BP-192,20011.07
EA1/CR-004,ZL3/WC-583,20011.06
EA1/LE-183,ZL3/CB-767,20011.06
EA5/MU-064,ZL1/GI-187,20011.05
EA1/LU-045,ZL3/CB-396,20011.05
EA7/JA-068,ZL1/BP-140,20011.04
EA1/OU-050,ZL3/WC-247,20011.03
EA7/CA-015,ZL1/NL-111,20011.03
EA1/ZA-006,ZL3/MB-034,20011.03
EA7/MA-125,ZL1/WK-113,20011.02
EA1/OU-011,ZL3/WC-449,20011.02
EA4/BA-076,ZL1/TN-013,20011.02
EA1/LE-205,ZL3/CB-799,20011.02
JA6/KG-177,PY3/PA-014,20011.02
EA5/MU-045,ZL1/BP-001,20011.02
EA1/LE-213,ZL3/CB-739,20011.01
EA4/CR-002,ZL1/WK-071,20011.01
EA4/CR-002,ZL1/WK-084,20011.01
EA5/MU-097,ZL1/GI-141,20011.0
CT/TM-007,ZL3/TM-110,20011.0
EA1/LU-050,ZL3/CB-615,20011.0
EA1/SG-014,ZL1/WL-082,20011.0
EA5/AB-090,ZL1/GI-089,20011.0
CT/TM-058,ZL3/TM-271,20011.0
EA1/AV-033,ZL1/MW-086,20011.0
EA7/AL-047,ZL1/BP-150,20011.0
CT/TM-053,ZL3/TM-278,20011.0
EA5/AB-052,ZL1/GI-161,20011.0
EA5/MU-005,ZL1/GI-148,20011.0
EA7/MA-071,ZL1/WK-077,20011.0
CT/TM-024,ZL3/MB-103,20010.99
EA5/MU-079,ZL1/GI-002,20010.99
EA4/CR-097,ZL1/MW-164,20010.99
EA5/AB-049,ZL1/GI-045,20010.99
EA5/MU-126,ZL1/GI-147,20010.99
EA7/MA-082,ZL1/AK-016,20010.99
EA1/CR-023,ZL3/WC-251,20010.98
EA1/OU-050,ZL3/WC-218,20010.98
EA1/CR-035,ZL3/CB-551,20010.98
EA7/JA-123,ZL1/BP-138,20010.98
EA5/MU-059,ZL1/BP-150,20010.98
CT/TM-034,ZL3/WC-232,20010.98
EA4/TO-016,ZL1/MW-082,20010.97
EA1/LU-041,ZL3/CB-431,20010.97
EA4/CR-056,ZL1/WK-002,20010.97
EA4/CR-110,ZL1/MW-140,20010.97
